"ID","EVENT_TYPE","STARTTIME","DISTANCE_KM","EVENT_DATE","RESULT_FINAL","ADDRESS","CITY","REGION","COUNTRY","RACE_ID"
"2026-08-29_WXPZY","RUN",2026-08-29 12:00:03,4.91707,2026-08-29,1242,"5TH STREET NORTH, WASAGA BEACH, SIMCOE COUNTY, CENTRAL ONTARIO, ONTARIO, L9Z 2K1, CANADA",NA,"ONTARIO","CANADA","2026-08-29_PVHBM"
"2026-08-29_CPANS","BIKE",2026-08-29 12:23:26,19.4528,2026-08-29,2024,"JENETTA STREET, WASAGA BEACH, SIMCOE COUNTY, CENTRAL ONTARIO, ONTARIO, L9Z 2K9, CANADA",NA,"ONTARIO","CANADA","2026-08-29_PVHBM"
"2026-08-29_CXKGP","RUN",2026-08-29 12:58:14,2.337,2026-08-29,617,"19_F_2, 154, MOSLEY STREET, WASAGA BEACH, SIMCOE COUNTY, CENTRAL ONTARIO, ONTARIO, L9Z 2K1, CANADA",NA,"ONTARIO","CANADA","2026-08-29_PVHBM"
