"DEVICE","EVENT_DATE","EVENT_DISTANCE","EVENT_NAME","EVENT_TYPE","RACE_ID","POINT_FLAG"
"FR965",2026-03-14,"15MIN/15MIN/15MIN","INDOOR TRIATHLON CHAMPIONSHIP RACE 2","INDOOR TRIATHLON","2026-03-14_JHTMW",TRUE
"FR965",2026-05-30,"15MIN/15MIN/15MIN","INDOOR TRIATHLON PROVINCIAL CHAMPIONSHIPS SERIES","INDOOR TRIATHLON","2026-05-30_HOSDV",TRUE
