"ID","EVENT_TYPE","STARTTIME","DISTANCE_KM","EVENT_DATE","RESULT_FINAL","ADDRESS","CITY","REGION","COUNTRY","RACE_ID"
"2026-03-14_MFXAB","SWIM",2026-03-14 20:21:59,0.8,2026-03-14,320,NA,NA,NA,NA,"2026-03-14_JHTMW"
"2026-03-14_GYAPP","BIKE",2026-03-14 21:01:54,NA,2026-03-14,515,NA,NA,NA,NA,"2026-03-14_JHTMW"
"2026-03-14_FELIO","RUN",2026-03-14 21:17:00,3.48193,2026-03-14,400,NA,NA,NA,NA,"2026-03-14_JHTMW"
"2026-05-30_HWCPW","SWIM",2026-05-30 23:21:59,0.425,2026-05-30,902,NA,NA,NA,NA,"2026-05-30_HOSDV"
"2026-05-30_DMFOC","BIKE",2026-05-30 23:52:17,NA,2026-05-30,885,NA,NA,NA,NA,"2026-05-30_HOSDV"
"2026-05-30_PSIMI","RUN",2026-05-31 00:17:00,3.70459,2026-05-30,911,NA,NA,NA,NA,"2026-05-30_HOSDV"
