"SECS","KM","CAD","HR","ID","PACE","WATTS","LRBALANCE","LTE","RTE","LPS","RPS","LPPB","RPPB","LPPE","RPPE","LPPPB","RPPPB","LPPPE","RPPPE","ALT","LAT","LON","SLOPE","RVERT","RCON","TEMP","KPH"
562,2.23423,88.5,174,"2026-03-28_YIUCB",4.22261633307998,448,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,197,43.588177061,-79.750994909,1.18965,9.17,232,12,14.2092
563,2.23769,88.5,174,"2026-03-28_YIUCB",4.2322668020992,455,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,197.2,43.588188376,-79.751031119,1.76769,9.14,233,12,14.1768
564,2.24183,88.5,174,"2026-03-28_YIUCB",4.24304141208418,459,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,197.4,43.588211343,-79.751074035,2.78554,9.14,233,12,14.1408
565,2.24559,88,175,"2026-03-28_YIUCB",4.24304141208418,466,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,197.6,43.588227771,-79.7511141,3.31746,9.32,235,12,14.1408
566,2.25012,87.5,175,"2026-03-28_YIUCB",4.25278557455133,473,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,197.6,43.588247217,-79.751161877,3.79365,9.32,235,12,14.1084
567,2.25379,87.5,175,"2026-03-28_YIUCB",4.24304141208418,480,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,197.6,43.588264903,-79.751199596,3.79365,9.32,235,12,14.1408
568,2.2577,89,175,"2026-03-28_YIUCB",4.24304141208418,483,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,197.6,43.588286612,-79.751237566,3.25601,9.14,233,12,14.1408
569,2.26138,89,175,"2026-03-28_YIUCB",4.24304141208418,487,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,197.6,43.588306729,-79.751275033,2.64251,9.14,233,12,14.1408
570,2.26538,88.5,176,"2026-03-28_YIUCB",4.24304141208418,492,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,197.4,43.588329024,-79.751312919,2.14251,9.14,233,12,14.1408
571,2.26898,88.5,176,"2026-03-28_YIUCB",4.25278557455133,494,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,197.4,43.588350734,-79.751347955,1.556,9.13,233,12,14.1084
572,2.27297,88.5,176,"2026-03-28_YIUCB",4.25278557455133,500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,197.6,43.588373029,-79.751385841,1.59429,9.13,233,12,14.1084
573,2.27671,89,177,"2026-03-28_YIUCB",4.26257459505541,506,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,197.8,43.588393146,-79.751424398,1.55102,9.13,233,12,14.076
574,2.28049,89.5,177,"2026-03-28_YIUCB",4.26257459505541,510,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,198,43.588408317,-79.751466308,1.59703,8.96,231,12,14.076
575,2.28449,89.5,178,"2026-03-28_YIUCB",4.27350427350427,515,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,198.4,43.588417705,-79.751517689,2.06511,8.92,232,12,14.04
576,2.28819,89.5,178,"2026-03-28_YIUCB",4.27350427350427,521,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,198.6,43.588419717,-79.75156052,2.60565,8.92,232,12,14.04
577,2.29236,89.5,178,"2026-03-28_YIUCB",4.28338901739056,538,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,199.2,43.5884255,-79.751616511,4.0445,8.92,232,12,14.0076
