Intervals,Swim Stroke,Lengths,Distance,Time,Cumulative Time,Avg Pace,Best Pace,Avg. Swolf,Avg HR,Max HR,Total Strokes,Avg Strokes,Calories
1.1,Freestyle,1,25,0:47,0:47,3:08,3:08,72,--,--,25,--,6
1.2,Freestyle,1,25,00:48.9,01:35.9,3:16,3:16,77,--,--,28,--,6
1.3,Freestyle,1,25,00:50.9,02:26.8,3:24,3:24,79,--,--,28,--,6
1.4,Freestyle,1,25,00:53.1,03:19.9,3:32,3:32,82,--,--,29,--,6
1.5,Freestyle,1,25,00:54.4,04:14.3,3:38,3:38,84,--,--,30,--,5
1.6,Freestyle,1,25,00:56.4,05:10.7,3:46,3:46,87,--,--,31,--,5
1.7,Freestyle,1,25,00:53.9,06:04.6,3:36,3:36,84,--,--,30,--,6
1.8,Freestyle,1,25,00:54.1,06:58.7,3:36,3:36,84,--,--,30,--,6
1.9,Freestyle,1,25,00:56.8,07:55.4,3:47,3:47,88,--,--,31,--,5
1.1,Freestyle,1,25,00:58.6,08:54.0,3:54,3:54,91,--,--,32,--,5
1.11,Freestyle,1,25,00:54.9,09:48.9,3:39,3:39,85,--,--,30,--,5
1.12,Freestyle,1,25,00:56.9,10:46,3:48,3:48,88,--,--,31,--,5
1.13,Freestyle,1,25,00:59.1,11:45,3:56,3:56,89,--,--,30,--,5
1.14,Freestyle,1,25,00:55.1,12:40,3:40,3:40,86,--,--,31,--,5
1.15,Freestyle,1,25,01:00.9,13:41,4:03,4:03,93,--,--,32,--,5
1.16,Freestyle,1,25,00:57.8,14:39,3:51,3:51,89,--,--,31,--,5
1.17,Freestyle,1,25,00:46.0,15:25,3:04,3:04,65,--,--,19,--,6
