"ID","EVENT_TYPE","STARTTIME","DISTANCE_KM","EVENT_DATE","RESULT_FINAL","ADDRESS","CITY","REGION","COUNTRY","RACE_ID"
"2026-03-14_MFXAB","SWIM",2026-03-14 20:21:59,0.8,2026-03-14,320,NA,NA,NA,NA,"2026-03-14_JHTMW"
"2026-03-14_FELIO","RUN",2026-03-14 21:17:00,3.48193,2026-03-14,400,NA,NA,NA,NA,"2026-03-14_JHTMW"
