"SECS","KM","CAD","HR","ID","PACE","WATTS","LRBALANCE","LTE","RTE","LPS","RPS","LPPB","RPPB","LPPE","RPPE","LPPPB","RPPPB","LPPPE","RPPPE","ALT","LAT","LON","SLOPE","RVERT","RCON","TEMP","KPH"
29,0.0308511,28.5643,117,"2026-03-14_MFXAB",1.61040104353988,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.72578
30,0.0319149,28.5643,118,"2026-03-14_MFXAB",1.61040104353988,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.72578
31,0.0329787,28.5643,118,"2026-03-14_MFXAB",1.61040104353988,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.72578
32,0.0340426,28.5643,119,"2026-03-14_MFXAB",1.61040104353988,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.72578
33,0.0351064,28.5643,119,"2026-03-14_MFXAB",1.61040104353988,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.72578
34,0.0361702,28.5643,120,"2026-03-14_MFXAB",1.61040104353988,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.72578
35,0.037234,28.5643,120,"2026-03-14_MFXAB",1.61040104353988,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.72578
36,0.0382979,28.5643,120,"2026-03-14_MFXAB",1.61040104353988,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.72578
37,0.0393617,28.5643,120,"2026-03-14_MFXAB",1.61040104353988,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.72578
38,0.0404255,28.5643,120,"2026-03-14_MFXAB",1.61040104353988,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.72578
39,0.0414894,28.5643,121,"2026-03-14_MFXAB",1.61040104353988,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.72578
