"ID","EVENT_TYPE","STARTTIME","DISTANCE_KM","EVENT_DATE","RESULT_FINAL","ADDRESS","CITY","REGION","COUNTRY","RACE_ID"
"2026-08-09_AFIOS","RUN",2026-08-09 12:00:03,5.02549,2026-08-09,1273,"81, LAKESHORE DRIVE, BARRIE, CENTRAL ONTARIO, ONTARIO, L4N 3K4, CANADA","BARRIE","ONTARIO","CANADA","2026-08-09_PBQVH"
"2026-08-09_ZGAYX","BIKE",2026-08-09 12:39:25,8.7674,2026-08-09,958,"LAKESHORE DRIVE, BARRIE, CENTRAL ONTARIO, ONTARIO, L4N 3A3, CANADA","BARRIE","ONTARIO","CANADA","2026-08-09_PBQVH"
"2026-08-09_IQFGX","RUN",2026-08-09 12:55:54,2.666,2026-08-09,734,"LAKESHORE DRIVE, BARRIE, CENTRAL ONTARIO, ONTARIO, L4N 3A5, CANADA","BARRIE","ONTARIO","CANADA","2026-08-09_PBQVH"
