"DEVICE","EVENT_DATE","EVENT_DISTANCE","EVENT_NAME","EVENT_TYPE","RACE_ID","POINT_FLAG"
"GARMIN FENIX5 PLUS",2025-02-22,"15MIN/15MIN/15MIN","INDOOR TRIATHLON PROVINCIAL CHAMPIONSHIP - RACE 1","INDOOR TRIATHLON","2025-02-22_UHMFD",TRUE
"GARMIN FENIX5 PLUS",2025-04-12,"15MIN/15MIN/15MIN","INDOOR TRIATHLON PROVINCIAL CHAMPIONSHIP - RACE 3","INDOOR TRIATHLON","2025-04-12_OIGFE",TRUE
