"ID","EVENT_TYPE","STARTTIME","DISTANCE_KM","EVENT_DATE","RESULT_FINAL","ADDRESS","CITY","REGION","COUNTRY","RACE_ID"
"2025-02-22_ZGTUV","SWIM",2025-02-22 19:44:58,0.425,2025-02-22,923,NA,NA,NA,NA,"2025-02-22_UHMFD"
"2025-02-22_KVPRG","BIKE",2025-02-22 20:19:26,-Inf,2025-02-22,560,NA,NA,NA,NA,"2025-02-22_UHMFD"
"2025-02-22_HFUHV","RUN",2025-02-22 20:34:58,3.10576,2025-02-22,895,NA,NA,NA,NA,"2025-02-22_UHMFD"
"2025-04-12_HPZFK","SWIM",2025-04-12 23:41:57,0.8,2025-04-12,869,NA,NA,NA,NA,"2025-04-12_OIGFE"
"2025-04-12_KINSH","BIKE",2025-04-13 00:21:46,-Inf,2025-04-12,46,NA,NA,NA,NA,"2025-04-12_OIGFE"
"2025-04-12_LUGAU","RUN",2025-04-13 00:31:58,3.53492,2025-04-12,902,NA,NA,NA,NA,"2025-04-12_OIGFE"
