category,names,tot_points,n_races,final_rank
m30-34,BORYS BRODZIUK,0.0,1,14
m30-34,BRAEDEN RIGNEY,0.0,1,14
m30-34,BRETT KING,0.0,1,14
m30-34,BRUCE FERGUSON,0.0,1,14
m30-34,CAM DUPUIS,0.0,1,14
m30-34,CAMILO DIAZ,0.0,1,14
m30-34,CHETT MONAGUE,0.0,1,14
m30-34,CHRIS CAMPANELLI,0.0,1,14
m30-34,CLAYTON CULHAM,0.0,1,14
m30-34,CLEMENT MINDJIMBA,0.0,1,14
m30-34,COLSON SPONG,0.0,1,14
m30-34,CONNOR DOWD,0.0,1,14
m30-34,CONNOR LIBBY,0.0,1,14
m30-34,CONNOR PATERSON,0.0,1,14
m30-34,DANE DSOUZA,0.0,1,14
m30-34,DANIEL CRUZ,0.0,1,14
m30-34,DANIEL DILARIO,0.0,1,14
m30-34,DANIEL KHARLAS,0.0,1,14
m30-34,DANIEL KIM,0.0,1,14
m30-34,DANIEL SHEOGOBIND,0.0,1,14
m30-34,DARRIN MORGAN,0.0,1,14
m30-34,DAVID TANGNESS,0.0,1,14
m30-34,DAVID TOWNLIAND,0.0,1,14
m30-34,DAVID TRAN,0.0,1,14
m30-34,DEREK VOGT,0.0,1,14
m30-34,DERRICK NHAN,0.0,1,14
m30-34,DESMOND CHAN,0.0,1,14
m30-34,DHRUV BISARIA,0.0,1,14
m30-34,DREW ROBINSON,0.0,1,14
m30-34,DYLAN LUCA,0.0,1,14
m30-34,DYLAN RIDDELL,0.0,1,14
m30-34,ERIC VANDERHELM,0.0,1,14
m30-34,ERIK ETZLER,0.0,1,14
m30-34,GEOFF SMART,0.0,1,14
m30-34,GLAUBER ARAUJO,0.0,1,14
m30-34,GREG MITCHELL,0.0,1,14
m30-34,HARRESH SIVAMOHAN,0.0,1,14
m30-34,HARRISON CLARKE,0.0,1,14
m30-34,HAYDEN COOK,0.0,1,14
m30-34,HEEVA SARKARRAH,0.0,1,14
m30-34,JACOB LOVE,0.0,1,14
m30-34,JAMES CHO,0.0,1,14
m30-34,JAMES DIDONATO,0.0,1,14
m30-34,JAMES HOWARD,0.0,2,14
m30-34,JAMES RAMPP,0.0,1,14
m30-34,JARED RAWLINGS,0.0,1,14
m30-34,JARRED WARREN,0.0,1,14
m30-34,JASON ALCANTARA,0.0,1,14
m30-34,JASON DUTHIE,0.0,1,14
m30-34,JEAN-CHRISTOPHE DESMEULES,0.0,1,14
m30-34,JEREMY SEGAL,0.0,1,14
m30-34,JIMMY VU,0.0,1,14
m30-34,JIN-SOO PARK,0.0,1,14
m30-34,JOHN GAO,0.0,1,14
m30-34,JOHN HUNKIN,0.0,1,14
m30-34,JOHN JOSEPH MITCHELL,0.0,1,14
m30-34,JONATHAN BARTON,0.0,1,14
m30-34,JONATHAN KLYNKRAMER,0.0,1,14
m30-34,JONER KUO,0.0,1,14
m30-34,JORDAN BALDWIN,0.0,1,14
m30-34,JORDAN BRYANT,0.0,1,14
m30-34,JOSEPH SALTER,0.0,1,14
m30-34,JOSH FULLAN,0.0,1,14
m30-34,KALEFF MORRIS,0.0,3,14
m30-34,KARL JANIEC,0.0,1,14
m30-34,KEN MCDONALD,0.0,1,14
m30-34,KENNETH ALOCILJA,0.0,1,14
m30-34,KEVIN FRIEDMAN,0.0,1,14
m30-34,KEVIN HOLT,0.0,1,14
m30-34,KYLE WARRINER,0.0,1,14
m30-34,LUKE ARCHBELL,0.0,1,14
m30-34,MARK FINGERHUTH,0.0,1,14
m30-34,MARK FOLKERINGA,0.0,1,14
m30-34,MARK FOSTER,0.0,1,14
m30-34,MARTIN DALLAIRE,0.0,1,14
m30-34,MATTHEW HUI,0.0,1,14
m30-34,MATTHEW JUNG,0.0,1,14
m30-34,MATTHEW SOUTHON,0.0,1,14
m30-34,MAX GREATRIX,0.0,1,14
m30-34,MEHRAZ KHAN,0.0,1,14
m30-34,MICHAEL LESNIAK,0.0,1,14
m30-34,MICHAEL WERAGODA,0.0,1,14
m30-34,NEIL GRENADE,0.0,1,14
m30-34,NIALL CLARKE,0.0,1,14
m30-34,NICHOLAS LANDRY,0.0,1,14
m30-34,NICHOLAS PETROZZI,0.0,1,14
m30-34,NICOLAS RENOU,0.0,1,14
m30-34,OMAR EL GAMAL,0.0,3,14
m30-34,OWEN GILLETT,0.0,1,14
m30-34,PAUL CHAKHOV,0.0,1,14
m30-34,PAUL SPRUITENBURG,0.0,1,14
m30-34,PHILIP PAINE,0.0,1,14
m30-34,PIERCE RINALDI,0.0,1,14
m30-34,QUENTIN TAILLEFER,0.0,1,14
m30-34,RICK BARTON,0.0,1,14
m30-34,ROBERT KUNCEWICZ,0.0,1,14
m30-34,RORY KAUFMANN,0.0,1,14
m30-34,RUDOLPH TROSIN,0.0,1,14
m30-34,RYAN WANNAMAKER,0.0,1,14
m30-34,SAMUEL BORDRON,0.0,1,14
m30-34,SAMUEL VINCE,0.0,1,14
m30-34,SEAN GRIXTI,0.0,1,14
m30-34,SHUOQIAN ZHANG,0.0,1,14
m30-34,SPARROW ALS,0.0,1,14
m30-34,STEVEN KELL,0.0,1,14
m30-34,SUNEEL SAINI,0.0,1,14
m30-34,TRUMAN JULIEN,0.0,1,14
m35-39,BRYCE MK HUDSON,290.0,3,1
m35-39,SEAN BUCHAN,255.0,3,2
m35-39,SEAMUS EGAN-ELLIOTT,245.0,3,3
m35-39,NICHOLAS TREVISAN,235.0,3,4
m35-39,OSCAR SIWIEC,190.0,2,5
m35-39,LUKE VEENS,130.0,2,6
m35-39,RYAN WELLS,120.0,2,7
m35-39,BRYAN LITTLE,100.0,1,8
m35-39,DANY MALLEY,100.0,1,8
m35-39,JASON FONGER,100.0,1,8
m35-39,JESSE BRYDGES,100.0,2,8
m35-39,RYAN DORSEY,100.0,1,8
m35-39,ADAM EPSTEIN,90.0,1,9
m35-39,ANDRII BUGAIOV,90.0,1,9
m35-39,DANIEL OLIVEIRA,90.0,1,9
m35-39,STUART GILBERT,90.0,1,9
m35-39,DEREK GRAINGER,85.0,1,10
m35-39,JONATHAN CAMPOS,85.0,1,10
m35-39,NICHOLAS FARR,85.0,1,10
m35-39,SHANNON GANE,85.0,1,10
m35-39,WILLIAM CROSTHWAITE,85.0,1,10
m35-39,BROOKE BOOCOCK,80.0,1,11
m35-39,BRYAN CAPORICCI,80.0,1,11
m35-39,CAMERON FITZGERALD,80.0,1,11
m35-39,GUILLAUME LEPAGE,80.0,1,11
m35-39,JON ROBILLARD,80.0,1,11
m35-39,ROSS BURNS,80.0,1,11
m35-39,YOSEPH MAMAN,80.0,1,11
m35-39,CONOR BROWN,75.0,1,12
m35-39,GRESHAM KIMM,75.0,1,12
m35-39,KALEB WEAVER,75.0,1,12
m35-39,MICHAEL WORSLEY,75.0,1,12
m35-39,RYAN BAULKE,75.0,1,12
m35-39,ALEXEY BULOKHOV,70.0,1,13
m35-39,BRYAN BARCHIESI,70.0,1,13
m35-39,JIM STOOPS,70.0,1,13
m35-39,RYAN MONKMAN,70.0,1,13
m35-39,SOKRATIS TSAKILTSIDIS,70.0,1,13
m35-39,TREVOR SMITH,70.0,1,13
m35-39,ZACK MACDONALD,70.0,1,13
m35-39,ALEXANDER NEUMANN,65.0,1,14
m35-39,AMIN JABER,65.0,1,14
m35-39,ANDREW BRINKMAN,65.0,1,14
m35-39,ANDREW FRIEDENTHAL,65.0,1,14
m35-39,BRETT WEERSINK,65.0,1,14
m35-39,DANIEL SNOWBALL,65.0,1,14
m35-39,LOUIS-PIERRE MAINVILLE,65.0,1,14
m35-39,THOMAS BINCZYK,65.0,1,14
m35-39,ADAM ELLIOTT,60.0,1,15
m35-39,ANDREW BLACK,60.0,1,15
m35-39,CHRISTOPHER DAVIS,60.0,1,15
m35-39,LUIS EDUARDO COLLADO,60.0,1,15
m35-39,MATT BERGUM,60.0,1,15
m35-39,STUART BARNARD,60.0,3,15
m35-39,FRANCISCO ZUNIGA,55.0,1,16
m35-39,GREG DOUGLAS,55.0,1,16
m35-39,NICK POOLE,55.0,1,16
m35-39,NOEL PANG,55.0,1,16
m35-39,SHANE DIRKSEN,55.0,1,16
m35-39,STEPHEN GLENNIE,55.0,2,16
m35-39,TIM PASCHE,55.0,1,16
m35-39,COREY MCNAIR,50.0,1,17
m35-39,DUSTIN SEIDLER,50.0,1,17
m35-39,IAN BURNS,50.0,1,17
m35-39,JOE COLLINS,50.0,2,17
m35-39,JORDAN BUNDA,50.0,1,17
m35-39,JOSIAH SHELLEY,50.0,1,17
m35-39,SHANE ELLIS,50.0,1,17
m35-39,ADAM NESS,0.0,1,18
m35-39,ADAM SMART,0.0,1,18
m35-39,ADAM VASSAIR,0.0,1,18
m35-39,ALEJANDRO JARAMILLO CELIS,0.0,1,18
m35-39,ALEX E MORIN,0.0,1,18
m35-39,ALEXANDER ABBOTT BOYD,0.0,1,18
m35-39,AMBROSE RECOSKIE,0.0,2,18
m35-39,ANDREW CARNOVALE,0.0,1,18
m35-39,ANDREW FLEMING,0.0,1,18
m35-39,ANDREW LAM,0.0,1,18
m35-39,ANDREW MACLEAN,0.0,1,18
m35-39,ANDREW NORTON,0.0,1,18
m35-39,ANDREW ORR,0.0,1,18
m35-39,ANDREW SPRAGG,0.0,1,18
m35-39,ANDRÉ PEPIN,0.0,1,18
m35-39,ANTHONY LEWIS,0.0,1,18
m35-39,ARS SEBASTIEN,0.0,1,18
m35-39,ARTHUR ROCHA,0.0,1,18
m35-39,ASHAN RODRIGUEZ,0.0,1,18
m35-39,BEN SZMYT-VALOIS,0.0,2,18
m35-39,BENJAMIN BEACHAM,0.0,1,18
m35-39,BENJAMIN WU,0.0,1,18
m35-39,BRADLEY COTTEN,0.0,2,18
m35-39,BRADLEY FREE,0.0,1,18
m35-39,BRENNAN BALLANTYNE,0.0,1,18
m35-39,BRIAN BLAKE,0.0,1,18
m35-39,BRYAN SZWARZ,0.0,1,18
m35-39,C CIARAVINO,0.0,1,18
m35-39,CARLOS PEÑA,0.0,1,18
m35-39,CHRISTOPHER MCIVOR,0.0,1,18
m35-39,CHRISTOPHER TROMBLY,0.0,1,18
m35-39,CLINTON TRACEY,0.0,1,18
m35-39,CRISTIAN MOLNAR,0.0,1,18
m35-39,DANIEL DAYTON,0.0,1,18
m35-39,DAVE MARSHALL,0.0,1,18
m35-39,DAVID HAMPSON,0.0,1,18
m35-39,EDWARD PERERA,0.0,1,18
m35-39,EVAN MACKAY,0.0,1,18
m35-39,FELIX LAVOIE,0.0,1,18
m35-39,GABRIEL TAN-CHEN,0.0,1,18
m35-39,GARY NOLAN,0.0,1,18
m35-39,GILLES AMARDEIL,0.0,1,18
m35-39,GUY BOTTOMLEY,0.0,1,18
m35-39,IAN LOVE,0.0,1,18
m35-39,IAN REESER,0.0,2,18
m35-39,IAN SMITH,0.0,1,18
m35-39,IAN TENDIJOWSKI,0.0,1,18
m35-39,JACK RINCON,0.0,1,18
m35-39,JAMES DENDLE,0.0,1,18
m35-39,JAMES SEO,0.0,1,18
m35-39,JASON NG,0.0,1,18
m35-39,JEFF BLACKSHAW,0.0,1,18
m35-39,JEFF HEPBURN,0.0,1,18
m35-39,JEREMY FALLIS,0.0,1,18
m35-39,JEREMY HUCKINS,0.0,1,18
m35-39,JOAO RAMALHO,0.0,1,18
m35-39,JOEL JACOBS,0.0,1,18
m35-39,JOEL LEES,0.0,1,18
m35-39,JOHN MCAULEY,0.0,1,18
m35-39,JORDAN MACLEAN,0.0,1,18
m35-39,JORDAN WINTER,0.0,1,18
m35-39,JORDON CLUNE,0.0,1,18
m35-39,JOSEPH CARRIG,0.0,1,18
m35-39,JOSH HIBBS,0.0,1,18
m35-39,JOSH NEWMAN,0.0,2,18
m35-39,JULIAN PILEGGI,0.0,1,18
m35-39,JULIO PADRON,0.0,1,18
m35-39,JUSTIN CHAN,0.0,1,18
m35-39,KYLE BURLEY,0.0,1,18
m35-39,KYLE MACDONALD,0.0,1,18
m35-39,KYLE STEVENSON,0.0,1,18
m35-39,LAVEN SUKUMARAN,0.0,1,18
m35-39,LEE RANTA,0.0,1,18
m35-39,LEONARDO DA SILVA LOPEZ,0.0,1,18
m35-39,LIAM EDWARDS,0.0,1,18
m35-39,LUCAS JULIEN,0.0,1,18
m35-39,MANUEL PÉREZ MALDONADO,0.0,1,18
m35-39,MARIO DI COSMO,0.0,1,18
m35-39,MARK HILL,0.0,1,18
m35-39,MARK MCGINTY,0.0,1,18
m35-39,MARK MIZEN,0.0,1,18
m35-39,MATT VANDERHELM,0.0,1,18
m35-39,MATTIAS COLIOPOULOS,0.0,1,18
m35-39,MICHAEL MULLER,0.0,1,18
m35-39,MICHAEL RETHY,0.0,1,18
m35-39,NATHAN IRELAND,0.0,1,18
m35-39,NAVEENRAJ RATHINAKUMAR,0.0,1,18
m35-39,NIALL LAAMANEN,0.0,1,18
m35-39,NICHOLAS OBAL,0.0,1,18
m35-39,OSCAR STRASSBURGER FILHO,0.0,1,18
m35-39,PATRICK BROWN,0.0,1,18
m35-39,PATRICK RAPP SCHAFER,0.0,1,18
m35-39,RAFAEL DE LA MORA,0.0,1,18
m35-39,RAFAEL MÜLLER,0.0,1,18
m35-39,RAYMON ATIENZA,0.0,1,18
m35-39,RICHARD GREIDANUS,0.0,1,18
m35-39,ROBERT MASTRODDI,0.0,1,18
m35-39,ROBERT PAQUIN,0.0,1,18
m35-39,RODERICK TOMICZEK,0.0,1,18
m35-39,ROY ROJAS,0.0,1,18
m35-39,RYAN HORNBY,0.0,1,18
m35-39,RYAN JANSSEN,0.0,1,18
m35-39,RYAN O'NEILL,0.0,1,18
m35-39,RYAN OOZEER,0.0,1,18
m35-39,SALAM AL-DURRA,0.0,1,18
m35-39,SAMUEL CHARTERS,0.0,1,18
m35-39,SATISH SURATH,0.0,1,18
m35-39,SEAN O'MARA,0.0,1,18
m35-39,SEAN ROBINSON,0.0,1,18
m35-39,SERGEI SHIBAEV,0.0,1,18
m35-39,STAS BODROV,0.0,1,18
m35-39,STEPHEN WEBB,0.0,1,18
m35-39,THOMAS SEARS,0.0,1,18
m35-39,TREVOR PLINT,0.0,1,18
m35-39,TREVOR WALMSLEY,0.0,1,18
m35-39,TYLER KEYES,0.0,1,18
m35-39,TYLER KOVERKO,0.0,1,18
m35-39,TYLER WILSON,0.0,1,18
m35-39,VIJAI SOOKRAH,0.0,1,18
m35-39,WILL KARELSEN,0.0,1,18
m35-39,WILLIAM SCHWAN,0.0,1,18
m35-39,WILLY STANLEY,0.0,1,18
m35-39,XIN ZHANG,0.0,1,18
m35-39,YURIY CZOLI,0.0,1,18
m40-44,ADRIAN JOSEPH,250.0,3,1
m40-44,HECTOR PALACIOS,200.0,2,2
m40-44,NICHOLAS YARDLEY,200.0,2,2
m40-44,KRISTJAN SPENCE,190.0,2,3
m40-44,MATT MCMULLEN,180.0,2,4
m40-44,EUGENE PINCHUK,170.0,2,5
m40-44,JORDAN SIMARD,170.0,2,6
m40-44,FEDERICO CALABRESE,170.0,3,7
m40-44,RONAN O'LEARY,155.0,2,8
m40-44,MATT GERVAIS,100.0,1,9
m40-44,PAUL WEBSTER,100.0,1,9
m40-44,AVIV MAGEN,90.0,1,10
m40-44,DOMINIK RUDECKI,90.0,1,10
m40-44,FRASER THOMSON,90.0,1,10
m40-44,SEAN BRYANT,90.0,1,10
m40-44,TIM ROSILLO,90.0,1,10
m40-44,ALEX DAMIANO,85.0,1,11
m40-44,CHRIS MCKEERING,85.0,2,11
m40-44,JON FARRAR,85.0,1,11
m40-44,JONATHAN WEIR,85.0,1,11
m40-44,ROBERT WHITMILL,85.0,1,11
m40-44,ANDREI KOMOROWSKY,80.0,2,12
m40-44,GUILLAUME GIROUX,80.0,1,12
m40-44,JEFF MOISAN,80.0,1,12
m40-44,JONATHAN SCRATCH,80.0,1,12
m40-44,JORGE ZAIDAN,80.0,1,12
m40-44,ADAM COHEN,75.0,1,13
m40-44,ADAM HOLMAN,75.0,1,13
m40-44,DEREK MORINE,75.0,1,13
m40-44,IAN LEWIS,75.0,1,13
m40-44,KARL SMOLKA,75.0,1,13
m40-44,PETER PRESTON,75.0,1,13
m40-44,ARTURO GARCIA,70.0,2,14
m40-44,DOUGLAS CREIGHTON,70.0,1,14
m40-44,GIACOMO FALBO,70.0,1,14
m40-44,HENDRIK WALTHER,70.0,1,14
m40-44,SEBASTIEN ROY,70.0,1,14
m40-44,SERGEY BOBKIN,70.0,1,14
m40-44,TOBY NORTH,70.0,1,14
m40-44,CHRISTOPHER LASZLO,65.0,2,15
m40-44,CRAIG MCCUE,65.0,1,15
m40-44,JONATHAN ASSELSTINE,65.0,1,15
m40-44,JONATHAN KARPETZ,65.0,1,15
m40-44,KYLE ANDERSON,65.0,1,15
m40-44,MICHAEL BRENNAN,65.0,1,15
m40-44,MICHAEL GROOT,65.0,1,15
m40-44,PAUL MCGRATH,65.0,2,15
m40-44,DANTE DUARTE,60.0,1,16
m40-44,DAVID PETRIE,60.0,2,16
m40-44,GRANT CAREW,60.0,1,16
m40-44,JESSE GRIN,60.0,1,16
m40-44,MATT WALTER-CONNOY,60.0,1,16
m40-44,MICHAEL GREAVES,60.0,1,16
m40-44,PATRICK GRAY,60.0,1,16
m40-44,SAM BIGELOW,60.0,1,16
m40-44,CHRIS COYLE,55.0,1,17
m40-44,JASON CHAPIESKI,55.0,1,17
m40-44,JASON CHENARD,55.0,1,17
m40-44,JENSEN CLARKE,55.0,1,17
m40-44,MAKSYM TYKHENKO,55.0,2,17
m40-44,NAZORIO KONE,55.0,1,17
m40-44,ROBERT TOMAS,55.0,1,17
m40-44,TODD GREENSPOON,55.0,2,17
m40-44,ANDREW KIERAN,50.0,1,18
m40-44,DANIEL HARTLEY,50.0,1,18
m40-44,ERIC HANSEN,50.0,2,18
m40-44,HARRISON BAQUERO,50.0,1,18
m40-44,KYLE BROWN,50.0,1,18
m40-44,ROBERT GARBARY,50.0,1,18
m40-44,ABDUL FARUQI,0.0,1,19
m40-44,ADAM PYLE,0.0,1,19
m40-44,AFIE JURVANEN,0.0,1,19
m40-44,AHMAD EL NAKIB,0.0,1,19
m40-44,ALEJANDRO GARCIA ORTIZ,0.0,1,19
m40-44,AMAN BHALLA,0.0,1,19
m40-44,ANDREW KIRKPATRICK,0.0,1,19
m40-44,ANDREW MORGAN,0.0,1,19
m40-44,ANDY SUHR,0.0,1,19
m40-44,ARTHUR MUI,0.0,1,19
m40-44,BILL BRUIJNS,0.0,2,19
m40-44,BOBBY FITKIN,0.0,1,19
m40-44,BRIAN NELLES,0.0,1,19
m40-44,CHARLIE QAQISH,0.0,1,19
m40-44,CHRIS ASHTON,0.0,1,19
m40-44,CHRIS MAHONEY,0.0,1,19
m40-44,CHRISTIAN VILLER,0.0,1,19
m40-44,CHRISTOPHER JAMES HAYLOCK,0.0,1,19
m40-44,CLINTON RHINES,0.0,1,19
m40-44,CORY GREENWOOD,0.0,1,19
m40-44,CRAIG SUTTON,0.0,1,19
m40-44,DANIEL TRAVERS,0.0,1,19
m40-44,DARYL MARRITT,0.0,1,19
m40-44,DAVE FISHER,0.0,1,19
m40-44,DAVE MADER,0.0,1,19
m40-44,DAVID AKELAITIS,0.0,1,19
m40-44,DAVID MACNEILL,0.0,1,19
m40-44,DAVID SKILLINGS,0.0,1,19
m40-44,DREW MACDOUGALL,0.0,1,19
m40-44,EDWIN ESCARRAGA,0.0,1,19
m40-44,ERIC BYRNE,0.0,1,19
m40-44,FRAZER WILLAN,0.0,1,19
m40-44,GUILLERMO CAMPOS,0.0,1,19
m40-44,IAN MACMILLAN,0.0,1,19
m40-44,IAN OLLERENSHAW,0.0,1,19
m40-44,ISAAC MARIANO,0.0,1,19
m40-44,JAMES KOVACEVIC,0.0,1,19
m40-44,JAMES MCEWEN,0.0,1,19
m40-44,JASON BIRD,0.0,1,19
m40-44,JASON HAAGENSEN,0.0,1,19
m40-44,JEFFREY BADER,0.0,1,19
m40-44,JEFFREY JACOBS,0.0,1,19
m40-44,JIVAN RAMSAHAI,0.0,1,19
m40-44,JOSH PERIARD,0.0,1,19
m40-44,KARTHIGESH SIVALINGAM,0.0,1,19
m40-44,KELVIN LUK,0.0,1,19
m40-44,KYLE WEDGE,0.0,1,19
m40-44,LACHLAN CANNELL,0.0,1,19
m40-44,LUCA BONI,0.0,1,19
m40-44,MARK BROWN,0.0,1,19
m40-44,MATT HARPER,0.0,1,19
m40-44,MATT HARTLEY,0.0,1,19
m40-44,MATTHEW FRAZER,0.0,1,19
m40-44,MATTHEW TSOUMARIS,0.0,1,19
m40-44,MICHAEL AUSTIN,0.0,2,19
m40-44,MICHAEL BETTS,0.0,1,19
m40-44,MICHAEL BLEAKLEY,0.0,1,19
m40-44,MICHAEL CAI,0.0,1,19
m40-44,MICHAEL GORDON,0.0,1,19
m40-44,MIKE ADAMS,0.0,1,19
m40-44,MIKE LAWSON,0.0,1,19
m40-44,NATHANIEL LAYWINE,0.0,1,19
m40-44,NICK SHIM,0.0,1,19
m40-44,NITIN ANAND,0.0,1,19
m40-44,PETER BLANCHARD,0.0,1,19
m40-44,PETER OLENDZKI,0.0,1,19
m40-44,PETER THUSS,0.0,1,19
m40-44,RADEK RYBICKI,0.0,1,19
m40-44,RAFAL KUBAT,0.0,1,19
m40-44,RAHIL MERCHANT,0.0,1,19
m40-44,RHYS JENKINS,0.0,1,19
m40-44,RICARDO LOVERA,0.0,1,19
m40-44,ROBBIE LACKRITZ,0.0,1,19
m40-44,ROHIT KENDURKAR,0.0,1,19
m40-44,ROSS SEMENIUK,0.0,1,19
m40-44,RYAN LUNDRIGAN,0.0,1,19
m40-44,SHAY BARAT,0.0,1,19
m40-44,SIMON GRAHAM,0.0,1,19
m40-44,STEVE MALONE,0.0,1,19
m40-44,STEVEN MACDONALD,0.0,1,19
m40-44,TERRENCE BELL,0.0,1,19
m40-44,THOMAS KEEGAN,0.0,1,19
m40-44,TIM HAURANEY,0.0,1,19
m40-44,TIM SCHILLING,0.0,1,19
m40-44,TUKER PAYMENT,0.0,1,19
m40-44,TYRONE CHUA,0.0,1,19
m40-44,WHEELOCK PUN,0.0,1,19
m40-44,WILLIAM GOTT,0.0,1,19
m40-44,ZACHARY MOULL,0.0,1,19
m45-49,BEN UNSWORTH,245.0,3,1
m45-49,STEVE SALT,245.0,3,2
m45-49,BRAD COLE,225.0,3,3
m45-49,ANDREW BARNES,190.0,2,4
m45-49,STEVE RAMOS,165.0,2,5
m45-49,STEPHAN VANPLETSEN,130.0,2,6
m45-49,SEAN DIENING,125.0,2,7
m45-49,AARON WILLIAMS,100.0,1,8
m45-49,ALEX BEAULNE,100.0,1,8
m45-49,DAVID GREENFIELD,100.0,1,8
m45-49,KEVIN BEATTY,100.0,1,8
m45-49,MICHAEL TELPNER,100.0,1,8
m45-49,TIM CHRISTIE,100.0,1,8
m45-49,ALAN O'CONNOR,90.0,1,9
m45-49,DAVID HEWSON,90.0,1,9
m45-49,LUCAS POWLESLAND,90.0,1,9
m45-49,MIKE CALLAGHAN,90.0,1,9
m45-49,PAULO LIMA,90.0,1,9
m45-49,SCOTT DAVEY,90.0,1,9
m45-49,THOMAS FREURE,90.0,1,9
m45-49,CHRIS CHAMBERS,85.0,1,10
m45-49,JEFF WILLIAMS,85.0,1,10
m45-49,MICHAEL COLQUHOUN,85.0,1,10
m45-49,SCOTT WISNER,85.0,1,10
m45-49,STEPHANE PERTH,85.0,1,10
m45-49,ANDY NEWMAN,80.0,1,11
m45-49,BARRY DEANE,80.0,1,11
m45-49,DAVID FERNANDEZ RODRIGUEZ,80.0,1,11
m45-49,FREDDY AMAYA,80.0,1,11
m45-49,MICHAEL TWIGG,80.0,1,11
m45-49,JOEL CUMMING,75.0,1,12
m45-49,MIKE COLE,75.0,1,12
m45-49,RENE SANCHEZ,75.0,1,12
m45-49,STEVE SHERWIN,75.0,1,12
m45-49,TOBY HEAPS,75.0,1,12
m45-49,ADAM PENTNEY,70.0,1,13
m45-49,IMRI YOUNG,70.0,1,13
m45-49,JAMES WILSON,70.0,1,13
m45-49,JASON MOORE,70.0,1,13
m45-49,PAUL ACCURSI,70.0,1,13
m45-49,PETER ELLIS,70.0,1,13
m45-49,C LEONARDO GARCIA O,65.0,1,14
m45-49,DAVID KIM,65.0,1,14
m45-49,FRANCIS CHEE,65.0,1,14
m45-49,JOSHUA CHERNG,65.0,1,14
m45-49,RAMON KAGAN,65.0,1,14
m45-49,SANJEEV SHARMA,65.0,1,14
m45-49,SCOTT RAMSAY,65.0,1,14
m45-49,BRENT MCCURDY,60.0,1,15
m45-49,DANIEL IM,60.0,2,15
m45-49,GRAHAM COLE,60.0,1,15
m45-49,JASON WEST,60.0,1,15
m45-49,JON CHEEK,60.0,1,15
m45-49,MUSTAFA AL-DURRA,60.0,1,15
m45-49,SCOTT JORDAN,60.0,1,15
m45-49,ALI LORESTANI,55.0,1,16
m45-49,DAVID TAUSKY,55.0,1,16
m45-49,JEFFREY GREENSPOON,55.0,1,16
m45-49,JUSTIN CHUNG,55.0,1,16
m45-49,MATT COLELLA,55.0,1,16
m45-49,MATT HODGSON,55.0,1,16
m45-49,RODRIGO MENDOZA,55.0,1,16
m45-49,SHAUN GRANT,55.0,1,16
m45-49,CHRIS HALES,50.0,1,17
m45-49,EDMUND NG,50.0,1,17
m45-49,JOHN SAMCOE,50.0,1,17
m45-49,RICARDO RODRIGUEZ,50.0,1,17
m45-49,STEVE YOUNG,50.0,2,17
m45-49,TRAVERS HARTLEY-SMITH,50.0,1,17
m45-49,AARON CHAN,0.0,1,18
m45-49,ADAM SZPRUTA,0.0,1,18
m45-49,ALESSANDRO MINHAO,0.0,1,18
m45-49,BLAKE DECLARK,0.0,1,18
m45-49,CHRIS BALSDON,0.0,1,18
m45-49,CLAUDIO LEPPE,0.0,1,18
m45-49,DAN HUGHES,0.0,1,18
m45-49,DARREN GRAY,0.0,1,18
m45-49,DAVID SCHEINBERG,0.0,1,18
m45-49,DEREK MATISZ,0.0,1,18
m45-49,DERRICK CREMIN,0.0,2,18
m45-49,DOMINIC ANTONY,0.0,1,18
m45-49,DUNCAN COWAN,0.0,1,18
m45-49,ELBERT CHU,0.0,1,18
m45-49,JASON DENNIS,0.0,2,18
m45-49,JEREMY BOUDREAU,0.0,1,18
m45-49,JOSEPH CHAN,0.0,1,18
m45-49,KENNY CHAN,0.0,1,18
m45-49,KEVIN LAHEY,0.0,1,18
m45-49,LANGSTON LAI,0.0,1,18
m45-49,LAURENT GELY,0.0,1,18
m45-49,MARAT LAZAREV,0.0,2,18
m45-49,MARCIO CASSOL,0.0,2,18
m45-49,MARTIN FARKAS,0.0,1,18
m45-49,MATHIEU BARIL,0.0,1,18
m45-49,MATT BEDERNJAK,0.0,1,18
m45-49,MATTHEW MACLEOD,0.0,1,18
m45-49,MICHAEL A LALONDE,0.0,1,18
m45-49,MICHAEL BIANCHI,0.0,1,18
m45-49,MICHAEL EMMERSON,0.0,1,18
m45-49,MIKE PAMELI,0.0,1,18
m45-49,MOHAMED EL FOULY,0.0,1,18
m45-49,NICHOLAS SYLVESTRE-WILLIAMS,0.0,1,18
m45-49,OSCAR STRAWCZYNSKI,0.0,2,18
m45-49,PETER BRUGNATTI,0.0,1,18
m45-49,ROMEO DACLAN CASTRO,0.0,1,18
m45-49,RON BATUIGAS,0.0,1,18
m45-49,RYAN MCCANN,0.0,1,18
m45-49,SCOTT WAGLER,0.0,1,18
m45-49,SEAN KELLY,0.0,1,18
m45-49,SERGIO SAYAGO,0.0,1,18
m45-49,STEVEN LIVINGSTONE,0.0,1,18
m45-49,TANABY ZIBAMANZAR MOFRAD,0.0,1,18
m45-49,WILLIAM NG,0.0,1,18
m50-54,WILL NEWELL,280.0,3,1
m50-54,CHRISTIAN HELLER,265.0,3,2
m50-54,DUNCAN SALISBURY,245.0,3,3
