"Activity Type","Activities","Total Distance","Max Distance","Moving Time","Average Pace","Average Heart Rate","Average Run Cadence","Average Bike Cadence","Average Power","Vertical Oscillation","Ground Contact Time"
"Gym & Fitness Equipment","2","--","--","1:43:27 h:m:s","--","77 bpm","--","--","--","--","--"
"Running","4","33.54 km","14.27 km","2:56:05 h:m:s","5:15 /km","139 bpm","166 spm","--","--","--","--"
"Swimming","3","5.05 km","2.00 km","1:26:34 h:m:s","25:16 /km","--","--","--","--","--","--"
