"Activity Type","Activities","Total Distance","Max Distance","Moving Time","Average Pace","Average Heart Rate","Average Run Cadence","Average Bike Cadence","Average Power","Vertical Oscillation","Ground Contact Time"
"Cycling","3","94.53 km","41.76 km","3:11:07 h:m:s","2:02 /km","126 bpm","--","85 rpm","180 W","--","--"
"Gym & Fitness Equipment","1","--","--","1:05:19 h:m:s","--","71 bpm","--","--","--","--","--"
"Running","3","20.02 km","7.00 km","1:54:20 h:m:s","5:43 /km","147 bpm","162 spm","--","--","--","--"
"Swimming","3","4.83 km","1.73 km","1:24:24 h:m:s","27:58 /km","--","--","--","--","--","--"
