"Activity Type","Activities","Total Distance","Max Distance","Moving Time","Average Pace","Average Heart Rate","Average Run Cadence","Average Bike Cadence","Average Power","Vertical Oscillation","Ground Contact Time"
"Cycling","3","148.57 km","81.43 km","3:40:56 h:m:s","1:29 /km","136 bpm","--","84 rpm","221 W","--","--"
"Gym & Fitness Equipment","2","--","--","1:51:20 h:m:s","--","77 bpm","--","--","--","--","--"
"Running","3","31.38 km","14.47 km","2:51:35 h:m:s","5:28 /km","137 bpm","164 spm","--","--","--","--"
"Swimming","3","6.10 km","2.20 km","1:44:40 h:m:s","23:33 /km","--","--","--","--","--","--"
