"Activity Type","Activities","Total Distance","Max Distance","Moving Time","Average Pace","Average Heart Rate","Average Run Cadence","Average Bike Cadence","Average Power","Vertical Oscillation","Ground Contact Time"
"Cycling","3","162.24 km","76.53 km","4:05:27 h:m:s","1:31 /km","133 bpm","--","81 rpm","220 W","--","--"
"Gym & Fitness Equipment","1","--","--","42:34 h:m:s","--","97 bpm","--","--","--","--","--"
"Running","3","28.24 km","15.56 km","2:34:52 h:m:s","5:29 /km","145 bpm","163 spm","--","--","--","--"
"Swimming","3","5.70 km","2.00 km","1:40:19 h:m:s","24:32 /km","--","--","--","--","--","--"
