"Activity Type","Activities","Total Distance","Max Distance","Moving Time","Average Pace","Average Heart Rate","Average Run Cadence","Average Bike Cadence","Average Power","Vertical Oscillation","Ground Contact Time"
"Cycling","1","41.76 km","41.76 km","1:27:37 h:m:s","2:06 /km","132 bpm","--","83 rpm","193 W","--","--"
"Gym & Fitness Equipment","1","--","--","28:59 h:m:s","--","82 bpm","--","--","--","--","--"
"Running","2","13.01 km","7.15 km","1:17:09 h:m:s","5:56 /km","148 bpm","160 spm","--","--","--","--"
"Swimming","2","2.55 km","1.30 km","45:49 h:m:s","32:10 /km","--","--","--","--","--","--"
