"Activity Type","Activities","Total Distance","Max Distance","Moving Time","Average Pace","Average Heart Rate","Average Run Cadence","Average Bike Cadence","Average Power","Vertical Oscillation","Ground Contact Time"
"Cycling","2","112.27 km","62.77 km","2:55:58 h:m:s","1:34 /km","132 bpm","--","85 rpm","212 W","--","--"
"Gym & Fitness Equipment","1","--","--","36:03 h:m:s","--","82 bpm","--","--","--","--","--"
"Running","1","13.88 km","13.88 km","1:17:42 h:m:s","5:37 /km","140 bpm","164 spm","--","--","--","--"
"Swimming","2","3.45 km","2.10 km","1:00:44 h:m:s","27:12 /km","--","--","--","--","--","--"
