"Activity Type","Activities","Total Distance","Max Distance","Moving Time","Average Pace","Average Heart Rate","Average Run Cadence","Average Bike Cadence","Average Power","Vertical Oscillation","Ground Contact Time"
"Cycling","1","41.75 km","41.75 km","1:28:54 h:m:s","2:08 /km","122 bpm","--","87 rpm","208 W","--","--"
"Gym & Fitness Equipment","1","--","--","45:18 h:m:s","--","82 bpm","--","--","--","--","--"
"Running","4","33.99 km","9.99 km","2:53:55 h:m:s","5:07 /km","138 bpm","166 spm","--","--","--","--"
"Swimming","2","4.50 km","2.50 km","1:20:29 h:m:s","22:25 /km","--","--","--","--","--","--"
