"Activity Type","Activities","Total Distance","Max Distance","Moving Time","Average Pace","Average Heart Rate","Average Run Cadence","Average Bike Cadence","Average Power","Vertical Oscillation","Ground Contact Time"
"Cycling","2","104.11 km","62.00 km","2:47:58 h:m:s","1:37 /km","135 bpm","--","82 rpm","210 W","--","--"
"Gym & Fitness Equipment","2","--","--","2:39:20 h:m:s","--","72 bpm","--","--","--","--","--"
"Running","3","25.65 km","12.71 km","2:22:27 h:m:s","5:34 /km","141 bpm","165 spm","--","--","--","--"
"Swimming","2","3.20 km","1.60 km","58:10 h:m:s","24:25 /km","--","--","--","--","--","--"
