"Activity Type","Activities","Total Distance","Max Distance","Moving Time","Average Pace","Average Heart Rate","Average Run Cadence","Average Bike Cadence","Average Power","Vertical Oscillation","Ground Contact Time"
"Cycling","3","147.79 km","74.66 km","3:41:55 h:m:s","1:30 /km","131 bpm","--","83 rpm","222 W","--","--"
"Gym & Fitness Equipment","2","--","--","1:43:35 h:m:s","--","70 bpm","--","--","--","--","--"
"Running","2","16.61 km","10.39 km","1:28:01 h:m:s","5:18 /km","146 bpm","165 spm","--","--","--","--"
"Swimming","3","5.80 km","2.00 km","1:39:11 h:m:s","24:39 /km","--","--","--","--","--","--"
