"Activity Type","Activities","Total Distance","Max Distance","Moving Time","Average Pace","Average Heart Rate","Average Run Cadence","Average Bike Cadence","Average Power","Vertical Oscillation","Ground Contact Time"
"Cycling","3","110.60 km","53.92 km","3:47:14 h:m:s","2:03 /km","130 bpm","--","88 rpm","177 W","--","--"
"Gym & Fitness Equipment","2","--","--","1:46:00 h:m:s","--","75 bpm","--","--","--","--","--"
"Running","1","10.16 km","10.16 km","56:59 h:m:s","5:37 /km","150 bpm","162 spm","--","--","--","--"
"Swimming","2","2.60 km","1.40 km","44:43 h:m:s","28:19 /km","--","--","--","--","--","--"
