"Activity Type","Activities","Total Distance","Max Distance","Moving Time","Average Pace","Average Heart Rate","Average Run Cadence","Average Bike Cadence","Average Power","Vertical Oscillation","Ground Contact Time"
"Cycling","1","14.79 km","14.79 km","29:59 h:m:s","2:02 /km","119 bpm","--","98 rpm","167 W","--","--"
"Gym & Fitness Equipment","1","--","--","1:01:26 h:m:s","--","99 bpm","--","--","--","--","--"
"Swimming","1","2.35 km","2.35 km","40:51 h:m:s","22:07 /km","134 bpm","--","--","--","--","--"
