"Activity Type","Activities","Total Distance","Max Distance","Moving Time","Average Pace","Average Heart Rate","Average Run Cadence","Average Bike Cadence","Average Power","Vertical Oscillation","Ground Contact Time"
"Cycling","3","69.34 km","41.14 km","1:41:58 h:m:s","1:36 /km","144 bpm","--","85 rpm","222 W","--","--"
"Gym & Fitness Equipment","1","--","--","42:48 h:m:s","--","85 bpm","--","--","--","--","--"
"Running","1","3.11 km","3.11 km","14:54 h:m:s","4:48 /km","149 bpm","164 spm","--","--","--","--"
"Swimming","3","4.45 km","1.85 km","1:17:08 h:m:s","28:19 /km","--","--","--","--","--","--"
