"Activity Type","Activities","Total Distance","Max Distance","Moving Time","Average Pace","Average Heart Rate","Average Run Cadence","Average Bike Cadence","Average Power","Vertical Oscillation","Ground Contact Time"
"Cycling","1","63.68 km","63.68 km","1:39:59 h:m:s","1:34 /km","142 bpm","--","91 rpm","202 W","--","--"
"Gym & Fitness Equipment","1","--","--","49:30 h:m:s","--","72 bpm","--","--","--","--","--"
"Running","3","25.02 km","10.06 km","2:22:14 h:m:s","5:42 /km","146 bpm","160 spm","--","--","--","--"
