"Activity Type","Activities","Total Distance","Max Distance","Moving Time","Average Pace","Average Heart Rate","Average Run Cadence","Average Bike Cadence","Average Power","Vertical Oscillation","Ground Contact Time"
"Cycling","3","89.04 km","42.92 km","2:27:59 h:m:s","1:40 /km","119 bpm","--","88 rpm","177 W","--","--"
"Gym & Fitness Equipment","1","--","--","45:41 h:m:s","--","93 bpm","--","--","--","--","--"
"Running","3","20.28 km","9.06 km","1:53:48 h:m:s","5:37 /km","133 bpm","164 spm","--","--","--","--"
"Swimming","3","4.70 km","1.90 km","1:25:28 h:m:s","25:26 /km","--","--","--","--","--","--"
