"Activity Type","Activities","Total Distance","Max Distance","Moving Time","Average Pace","Average Heart Rate","Average Run Cadence","Average Bike Cadence","Average Power","Vertical Oscillation","Ground Contact Time"
"Cycling","2","30.13 km","15.47 km","1:00:07 h:m:s","2:00 /km","115 bpm","--","94 rpm","177 W","--","--"
"Gym & Fitness Equipment","1","--","--","50:45 h:m:s","--","81 bpm","--","--","--","--","--"
"Running","2","18.31 km","9.72 km","1:31:49 h:m:s","5:01 /km","143 bpm","167 spm","--","--","--","--"
"Swimming","3","5.73 km","2.25 km","1:41:09 h:m:s","28:48 /km","--","--","--","--","--","--"
