"Activity Type","Activities","Total Distance","Max Distance","Moving Time","Average Pace","Average Heart Rate","Average Run Cadence","Average Bike Cadence","Average Power","Vertical Oscillation","Ground Contact Time"
"Cycling","3","20.93 km","12.34 km","43:38 h:m:s","3:02 /km","135 bpm","--","92 rpm","191 W","--","--"
"Running","4","30.91 km","11.53 km","2:35:48 h:m:s","5:03 /km","146 bpm","170 spm","--","--","--","--"
"Swimming","4","5.58 km","1.90 km","1:37:03 h:m:s","23:16 /km","--","--","--","--","--","--"
