"Activity Type","Activities","Total Distance","Max Distance","Moving Time","Average Pace","Average Heart Rate","Average Run Cadence","Average Bike Cadence","Average Power","Vertical Oscillation","Ground Contact Time"
"Cycling","2","72.16 km","37.96 km","1:52:13 h:m:s","1:33 /km","126 bpm","--","83 rpm","206 W","--","--"
"Gym & Fitness Equipment","2","--","--","1:03:24 h:m:s","--","73 bpm","--","--","--","--","--"
"Running","3","31.63 km","16.72 km","2:52:16 h:m:s","5:27 /km","144 bpm","163 spm","--","--","--","--"
"Swimming","2","3.80 km","2.00 km","1:08:34 h:m:s","24:48 /km","--","--","--","--","--","--"
