"Activity Type","Activities","Total Distance","Max Distance","Moving Time","Average Pace","Average Heart Rate","Average Run Cadence","Average Bike Cadence","Average Power","Vertical Oscillation","Ground Contact Time"
"Cycling","3","157.70 km","79.76 km","3:50:53 h:m:s","1:28 /km","132 bpm","--","83 rpm","230 W","--","--"
"Gym & Fitness Equipment","2","--","--","1:19:42 h:m:s","--","81 bpm","--","--","--","--","--"
"Running","3","30.61 km","12.25 km","2:45:41 h:m:s","5:25 /km","136 bpm","164 spm","--","--","--","--"
"Swimming","3","5.30 km","2.00 km","1:31:37 h:m:s","27:23 /km","--","--","--","--","--","--"
