"Activity Type","Activities","Total Distance","Max Distance","Moving Time","Average Pace","Average Heart Rate","Average Run Cadence","Average Bike Cadence","Average Power","Vertical Oscillation","Ground Contact Time"
"Cycling","2","63.56 km","41.84 km","2:06:12 h:m:s","2:00 /km","147 bpm","--","84 rpm","189 W","--","--"
"Gym & Fitness Equipment","1","--","--","28:56 h:m:s","--","77 bpm","--","--","--","--","--"
"Running","2","16.74 km","10.12 km","1:32:39 h:m:s","5:32 /km","155 bpm","163 spm","--","--","--","--"
