"Activity Type","Activities","Total Distance","Max Distance","Moving Time","Average Pace","Average Heart Rate","Average Run Cadence","Average Bike Cadence","Average Power","Vertical Oscillation","Ground Contact Time"
"Cycling","3","134.82 km","60.69 km","3:19:58 h:m:s","1:29 /km","126 bpm","--","87 rpm","205 W","--","--"
"Gym & Fitness Equipment","2","--","--","1:24:13 h:m:s","--","84 bpm","--","--","--","--","--"
"Running","3","35.79 km","13.79 km","3:11:56 h:m:s","5:22 /km","134 bpm","164 spm","--","--","--","--"
"Swimming","3","5.53 km","1.95 km","1:34:22 h:m:s","24:15 /km","--","--","--","--","--","--"
