"Activity Type","Activities","Total Distance","Max Distance","Moving Time","Average Pace","Average Heart Rate","Average Run Cadence","Average Bike Cadence","Average Power","Vertical Oscillation","Ground Contact Time"
"Cycling","3","117.81 km","43.24 km","3:15:56 h:m:s","1:40 /km","123 bpm","--","90 rpm","177 W","--","--"
"Gym & Fitness Equipment","1","--","--","35:51 h:m:s","--","89 bpm","--","--","--","--","--"
"Running","3","22.39 km","8.18 km","2:04:38 h:m:s","5:34 /km","140 bpm","165 spm","--","--","--","--"
"Swimming","3","4.40 km","1.60 km","1:15:54 h:m:s","26:38 /km","--","--","--","--","--","--"
