"Activity Type","Activities","Total Distance","Max Distance","Moving Time","Average Pace","Average Heart Rate","Average Run Cadence","Average Bike Cadence","Average Power","Vertical Oscillation","Ground Contact Time"
"Cycling","3","46.60 km","19.48 km","1:23:18 h:m:s","1:47 /km","131 bpm","--","94 rpm","210 W","--","--"
"Gym & Fitness Equipment","1","--","--","43:44 h:m:s","--","72 bpm","--","--","--","--","--"
"Other","2","0.83 km","0.64 km","4:09 h:m:s","5:58 /km","139 bpm","121 spm","--","--","--","--"
"Running","3","16.46 km","8.61 km","1:22:21 h:m:s","5:01 /km","148 bpm","165 spm","--","408 W","9.4 cm","264 ms"
"Swimming","3","3.88 km","2.05 km","1:07:24 h:m:s","25:26 /km","126 bpm","--","--","--","--","--"
