"Activity Type","Activities","Total Distance","Max Distance","Moving Time","Average Pace","Average Heart Rate","Average Run Cadence","Average Bike Cadence","Average Power","Vertical Oscillation","Ground Contact Time"
"Cycling","2","30.37 km","15.77 km","59:56 h:m:s","1:59 /km","117 bpm","--","99 rpm","178 W","--","--"
"Gym & Fitness Equipment","2","--","--","1:31:45 h:m:s","--","72 bpm","--","--","--","--","--"
"Running","3","28.78 km","9.65 km","2:28:44 h:m:s","5:10 /km","137 bpm","166 spm","--","--","--","--"
"Swimming","3","6.63 km","2.25 km","1:56:51 h:m:s","23:23 /km","--","--","--","--","--","--"
