"Activity Type","Activities","Total Distance","Max Distance","Moving Time","Average Pace","Average Heart Rate","Average Run Cadence","Average Bike Cadence","Average Power","Vertical Oscillation","Ground Contact Time"
"Cycling","2","112.35 km","67.34 km","2:57:58 h:m:s","1:35 /km","136 bpm","--","84 rpm","217 W","--","--"
"Gym & Fitness Equipment","2","--","--","1:32:04 h:m:s","--","78 bpm","--","--","--","--","--"
"Running","2","20.01 km","14.32 km","1:51:12 h:m:s","5:34 /km","144 bpm","159 spm","--","--","--","--"
"Swimming","2","3.50 km","1.90 km","1:02:04 h:m:s","26:35 /km","--","--","--","--","--","--"
