"Activity Type","Activities","Total Distance","Max Distance","Moving Time","Average Pace","Average Heart Rate","Average Run Cadence","Average Bike Cadence","Average Power","Vertical Oscillation","Ground Contact Time"
"Cycling","3","152.28 km","80.02 km","5:04:39 h:m:s","2:00 /km","128 bpm","--","84 rpm","209 W","--","--"
"Gym & Fitness Equipment","1","--","--","39:24 h:m:s","--","86 bpm","--","--","--","--","--"
"Running","2","18.96 km","12.85 km","1:37:40 h:m:s","5:09 /km","142 bpm","168 spm","--","--","--","--"
"Swimming","2","4.13 km","2.35 km","1:10:20 h:m:s","25:03 /km","--","--","--","--","--","--"
