"Activity Type","Activities","Total Distance","Max Distance","Moving Time","Average Pace","Average Heart Rate","Average Run Cadence","Average Bike Cadence","Average Power","Vertical Oscillation","Ground Contact Time"
"Cycling","3","108.53 km","59.52 km","3:38:30 h:m:s","2:16 /km","125 bpm","--","83 rpm","222 W","--","--"
"Gym & Fitness Equipment","1","--","--","46:34 h:m:s","--","74 bpm","--","--","--","--","--"
"Running","1","14.03 km","14.03 km","1:09:59 h:m:s","5:00 /km","144 bpm","170 spm","--","--","--","--"
"Swimming","3","5.05 km","1.87 km","1:29:03 h:m:s","24:55 /km","--","--","--","--","--","--"
