"Activity Type","Activities","Total Distance","Max Distance","Moving Time","Average Pace","Average Heart Rate","Average Run Cadence","Average Bike Cadence","Average Power","Vertical Oscillation","Ground Contact Time"
"Cycling","2","67.47 km","36.14 km","1:42:58 h:m:s","1:32 /km","133 bpm","--","81 rpm","223 W","--","--"
"Gym & Fitness Equipment","1","--","--","54:39 h:m:s","--","75 bpm","--","--","--","--","--"
"Running","1","14.00 km","14.00 km","1:21:32 h:m:s","5:50 /km","159 bpm","160 spm","--","--","--","--"
"Swimming","1","1.80 km","1.80 km","31:27 h:m:s","29:29 /km","--","--","--","--","--","--"
