"Activity Type","Activities","Total Distance","Max Distance","Moving Time","Average Pace","Average Heart Rate","Average Run Cadence","Average Bike Cadence","Average Power","Vertical Oscillation","Ground Contact Time"
"Cycling","3","153.99 km","71.50 km","4:06:49 h:m:s","1:36 /km","132 bpm","--","88 rpm","192 W","--","--"
"Gym & Fitness Equipment","1","--","--","47:41 h:m:s","--","93 bpm","--","--","--","--","--"
"Running","2","20.75 km","14.05 km","1:50:52 h:m:s","5:21 /km","142 bpm","163 spm","--","--","--","--"
"Swimming","2","3.60 km","2.00 km","1:01:56 h:m:s","25:55 /km","--","--","--","--","--","--"
