"Activity Type","Activities","Total Distance","Max Distance","Moving Time","Average Pace","Average Heart Rate","Average Run Cadence","Average Bike Cadence","Average Power","Vertical Oscillation","Ground Contact Time"
"Cycling","3","120.85 km","43.97 km","3:13:57 h:m:s","1:36 /km","132 bpm","--","82 rpm","204 W","--","--"
"Gym & Fitness Equipment","2","--","--","2:00:02 h:m:s","--","81 bpm","--","--","--","--","--"
"Running","3","27.38 km","13.20 km","2:29:14 h:m:s","5:27 /km","138 bpm","166 spm","--","--","--","--"
"Swimming","2","3.70 km","1.90 km","1:05:17 h:m:s","24:31 /km","--","--","--","--","--","--"
