"Activity Type","Activities","Total Distance","Max Distance","Moving Time","Average Pace","Average Heart Rate","Average Run Cadence","Average Bike Cadence","Average Power","Vertical Oscillation","Ground Contact Time"
"Cycling","3","77.09 km","41.35 km","2:35:41 h:m:s","2:01 /km","128 bpm","--","90 rpm","170 W","--","--"
"Gym & Fitness Equipment","2","--","--","1:03:26 h:m:s","--","85 bpm","--","--","--","--","--"
"Running","2","11.39 km","6.22 km","1:05:01 h:m:s","5:43 /km","144 bpm","162 spm","--","--","--","--"
"Swimming","2","2.60 km","1.50 km","48:04 h:m:s","28:13 /km","--","--","--","--","--","--"
