"Activity Type","Activities","Total Distance","Max Distance","Moving Time","Average Pace","Average Heart Rate","Average Run Cadence","Average Bike Cadence","Average Power","Vertical Oscillation","Ground Contact Time"
"Cycling","3","112.74 km","45.70 km","3:25:57 h:m:s","1:50 /km","127 bpm","--","89 rpm","186 W","--","--"
"Gym & Fitness Equipment","2","--","--","1:16:07 h:m:s","--","76 bpm","--","--","--","--","--"
"Running","3","25.49 km","13.32 km","2:22:20 h:m:s","5:35 /km","140 bpm","166 spm","--","--","--","--"
"Swimming","2","3.10 km","2.00 km","55:48 h:m:s","25:40 /km","--","--","--","--","--","--"
