"Activity Type","Activities","Total Distance","Max Distance","Moving Time","Average Pace","Average Heart Rate","Average Run Cadence","Average Bike Cadence","Average Power","Vertical Oscillation","Ground Contact Time"
"Cycling","2","90.53 km","56.68 km","2:12:59 h:m:s","1:28 /km","126 bpm","--","80 rpm","221 W","--","--"
"Gym & Fitness Equipment","1","--","--","2:40:44 h:m:s","--","66 bpm","--","--","--","--","--"
"Running","3","36.90 km","16.28 km","3:10:33 h:m:s","5:10 /km","143 bpm","168 spm","--","--","--","--"
"Swimming","3","6.18 km","2.30 km","1:49:25 h:m:s","23:10 /km","--","--","--","--","--","--"
