"Activity Type","Activities","Total Distance","Max Distance","Moving Time","Average Pace","Average Heart Rate","Average Run Cadence","Average Bike Cadence","Average Power","Vertical Oscillation","Ground Contact Time"
"Cycling","3","86.63 km","41.75 km","2:44:00 h:m:s","1:56 /km","129 bpm","--","86 rpm","202 W","--","--"
"Gym & Fitness Equipment","2","--","--","1:36:08 h:m:s","--","81 bpm","--","--","--","--","--"
"Other","1","0.07 km","0.07 km","0:30 h:m:s","52:45 /km","98 bpm","107 spm","--","--","--","--"
"Running","2","12.45 km","8.09 km","1:05:49 h:m:s","5:18 /km","144 bpm","162 spm","--","395 W","9.2 cm","266 ms"
"Swimming","1","2.08 km","2.08 km","35:34 h:m:s","25:57 /km","137 bpm","--","--","--","--","--"
