"Activity Type","Activities","Total Distance","Max Distance","Moving Time","Average Pace","Average Heart Rate","Average Run Cadence","Average Bike Cadence","Average Power","Vertical Oscillation","Ground Contact Time"
"Cycling","3","121.81 km","69.58 km","3:56:12 h:m:s","1:57 /km","134 bpm","--","86 rpm","195 W","--","--"
"Gym & Fitness Equipment","1","--","--","44:47 h:m:s","--","86 bpm","--","--","--","--","--"
"Running","3","30.09 km","11.41 km","2:36:43 h:m:s","5:13 /km","138 bpm","162 spm","--","380 W","9.0 cm","262 ms"
"Swimming","2","4.30 km","2.20 km","1:15:25 h:m:s","23:17 /km","133 bpm","--","--","--","--","--"
