"Activity Type","Activities","Total Distance","Max Distance","Moving Time","Average Pace","Average Heart Rate","Average Run Cadence","Average Bike Cadence","Average Power","Vertical Oscillation","Ground Contact Time"
"Cycling","3","136.05 km","63.88 km","3:39:20 h:m:s","1:37 /km","127 bpm","--","79 rpm","217 W","--","--"
"Gym & Fitness Equipment","1","--","--","39:18 h:m:s","--","91 bpm","--","--","--","--","--"
"Running","2","27.02 km","16.40 km","2:20:46 h:m:s","5:14 /km","142 bpm","165 spm","--","--","--","--"
"Swimming","3","4.93 km","2.08 km","1:26:45 h:m:s","26:17 /km","--","--","--","--","--","--"
